----------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------
 LID                                      LID(String)      Filename         Verno                                 Description    Category   Attribute
 150                         NVRAM_EF_ALS_LINE_ID_LID          MT4C           002                                      (null)      0x0100      0x0000
 151                               NVRAM_EF_MSCAP_LID          MT4D           001                                      (null)      0x0100      0x0002
 125                     NVRAM_EF_CLASSMARK_RACAP_LID          MT17           005                                      (null)      0x0000      0x0002
 126                          NVRAM_EF_SIM_ASSERT_LID          MT18           000                                      (null)      0x0000      0x0100
 127                            NVRAM_EF_RTC_DATA_LID          MT19           000                                      (null)      0x0000      0x0000
 128                             NVRAM_EF_NET_PAR_LID          MT1A           007                                      (null)      0x0000      0x0000
 169                            NVRAM_EF_CSM_ESSP_LID          MT35           000                                      (null)      0x0000      0x0000
 138                   NVRAM_EF_CUST_HW_LEVEL_TBL_LID          MT67           003                                      (null)      0x0000      0x1040
 139                NVRAM_EF_UEM_MANUFACTURE_DATA_LID          MT68           000                                      (null)      0x0000      0x1000
 140                        NVRAM_EF_UEM_RMI_DATA_LID          MT69           002                                      (null)      0x0000      0x1000
 163                         NVRAM_EF_MS_SECURITY_LID          MT6G           003                                      (null)      0x0100      0x0008
 171                     NVRAM_EF_SYS_CACHE_OCTET_LID          MT6K           004                                      (null)      0x0000      0x2001
 175                      NVRAM_EF_RAC_PREFERENCE_LID          MT6S           005                                      (null)      0x0100      0x0080
 166             NVRAM_EF_PS_CONFORMANCE_TESTMODE_LID          MT6U           000                                      (null)      0x0000      0x0000
 178                          NVRAM_EF_TST_CONFIG_LID          MT72           001                                      (null)      0x0000      0x2000
2560                                 NVRAM_EF_ADC_LID          MT1F           000                                      (null)      0x1000      0x0000
1280                         NVRAM_EF_CAMERA_PARA_LID          MT50           006                                      (null)      0x0000      0x2000
1322               NVRAM_EF_CAMERA_MAIN_SENSOR_ID_LID          MT5Y           000                                      (null)      0x0000      0x0080
2816                     NVRAM_EF_TOUCHPANEL_PARA_LID          TP00           000                                      (null)      0x0000      0x2000
 185                                 NVRAM_EF_PHB_LID          MP0C           003                                      (null)      0x0000      0x0010
 181                            NVRAM_EF_AUTOTEST_LID          MP07           001                                      (null)      0x0000      0x0000
 182                          NVRAM_EF_CACHE_BYTE_LID          MM00           005                                      (null)      0x0100      0x0000
 183                         NVRAM_EF_CACHE_SHORT_LID          MM01           002                                      (null)      0x0100      0x0000
 184                        NVRAM_EF_CACHE_DOUBLE_LID          MM02           001                                      (null)      0x0100      0x0000
 368                  NVRAM_EF_MMI_CACHE_BYTE_KEY_LID          MM03           000                                      (null)      0x0000      0x2001
 369                 NVRAM_EF_MMI_CACHE_SHORT_KEY_LID          MM04           000                                      (null)      0x0000      0x2001
 370                NVRAM_EF_MMI_CACHE_DOUBLE_KEY_LID          MM05           000                                      (null)      0x0000      0x2001
 186                             NVRAM_EF_PHB_SOS_LID          MP0E           002                                      (null)      0x0000      0x0000
 187                       NVRAM_EF_PHB_SPEEDDIAL_LID          MP0F           002                                      (null)      0x0000      0x0000
 189                          NVRAM_EF_PHB_FIELDS_LID          MP0H           006                                      (null)      0x0000      0x0010
 190                     NVRAM_EF_PHB_FIELDS_MASK_LID          MP0I           002                                      (null)      0x0000      0x0000
 191                      NVRAM_EF_PHB_GROUP_INFO_LID          MP0J           003                                      (null)      0x0000      0x0000
 192                       NVRAM_EF_PHB_MY_NUMBER_LID          MP0K           004                                      (null)      0x0000      0x0000
 194                     NVRAM_EF_PHB_GROUP_FIELD_LID          MP0M           002                                      (null)      0x0000      0x0000
 196                            NVRAM_EF_PHB_INFO_LID          MP0Q           002                                      (null)      0x0000      0x0000
 200                                 NVRAM_EF_SMS_LID          MP0V           001                                      (null)      0x0000      0x0000
 204                      NVRAM_EF_CAMERA_SETTING_LID          MP1B           001                                      (null)      0x0000      0x0080
 206                           NVRAM_EF_IP_NUMBER_LID          MP1H           001                                      (null)      0x0000      0x0000
 207                           NVRAM_EF_ALM_QUEUE_LID          MP1L           001                                      (null)      0x0000      0x0040
 208                       NVRAM_EF_ALM_SPOF_DATA_LID          MP1M           001                                      (null)      0x0000      0x0040
 209                      NVRAM_EF_ALM_ALARM_DATA_LID          MP1N           000                                      (null)      0x0000      0x0040
 210                           NVRAM_EF_TODO_LIST_LID          MP1O           014                                      (null)      0x0000      0x0010
 211                           NVRAM_EF_GROUPLIST_LID          MP1R           000                                      (null)      0x0000      0x0000
 213                  NVRAM_EF_WALLPAPER_FILENAME_LID          MP1S           000                                      (null)      0x0000      0x0080
 214                           NVRAM_EF_SHORTCUTS_LID          MP1T           002                                      (null)      0x0000      0x00c0
 222             NVRAM_EF_FMGR_FILEPATH_POOL_HEAD_LID          MP23           000                                      (null)      0x0000      0x0000
 223             NVRAM_EF_FMGR_FILEPATH_POOL_TAIL_LID          MP24           000                                      (null)      0x0000      0x0000
 228                          NVRAM_EF_BLACK_LIST_LID          MP2A           001                                      (null)      0x0000      0x0000
 247                        NVRAM_EF_WLAN_SETTING_LID          MP39           006                                      (null)      0x0000      0x0000
 248                        NVRAM_EF_WLAN_PROFILE_LID          MP40           006                                      (null)      0x0000      0x0000
 249                   NVRAM_EF_EM_NW_EVENT_RINGS_LID          MT36           000                                      (null)      0x0000      0x0000
 250                        NVRAM_EF_NITZ_NW_NAME_LID          MP42           000                                      (null)      0x0000      0x00c0
 261               NVRAM_EF_UMMS_COMPOSE_SETTINGS_LID          MP4N           003                                      (null)      0x0000      0x0080
 262               NVRAM_EF_UMMS_SENDING_SETTINGS_LID          MP4O           001                                      (null)      0x0000      0x0080
 299                    NVRAM_EF_PUSH_GEN_SETTING_LID          MP6I           000                                      (null)      0x0000      0x0080
 321                  NVRAM_EF_SEARCH_WEB_HISTORY_LID          MP85           000                                      (null)      0x0000      0x0000
 327                  NVRAM_EF_CNMGR_CONNECT_DATA_LID          MP90           003                                      (null)      0x0000      0x0000
 332                           NVRAM_EF_TDL_EVENT_LID          MP9F           000                                      (null)      0x0000      0x0010
 333                            NVRAM_EF_TDL_TASK_LID          MPA0           000                                      (null)      0x0000      0x0010
 335                         NVRAM_EF_SRV_SMS_PDU_LID          MPA3           001                                      (null)      0x0000      0x0010
 339                NVRAM_EF_MRE_APP_BAN_LIST_EXT_LID          MPA9           002                                      (null)      0x0000      0x0000
 341              NVRAM_EF_MRE_SYM_ENTRY_LIST_EXT_LID          MPAB           002                                      (null)      0x0000      0x2000
 340                   NVRAM_EF_MRE_PKEY_LIST_EXT_LID          MPAA           002                                      (null)      0x0000      0x2001
 342               NVRAM_EF_MRE_SYM_CONF_LIST_EXT_LID          MPAC           002                                      (null)      0x0000      0x0000
 343                   NVRAM_EF_MRE_FIRST_RUNNING_LID          MPB4           002                                      (null)      0x0000      0x0000
 338                 NVRAM_EF_AM_HS_SHORTCUT_LIST_LID          MPB5           000                                      (null)      0x0000      0x0000
 348               NVRAM_EF_SRV_SMS_SIM_CUST_DATA_LID          MPBA           001                                      (null)      0x0000      0x0000
 353                        NVRAM_EF_SRV_CBS_PAGE_LID          MPC3           000                                      (null)      0x0000      0x0010
 354                    NVRAM_EF_SRV_CBS_MSG_NODE_LID          MPC4           000                                      (null)      0x0000      0x0010
 355                   NVRAM_EF_SRV_CBS_CHNL_NAME_LID          MPC5           000                                      (null)      0x0000      0x0010
 356                        NVRAM_EF_DTCNT_SIM_ID_LID          MPC6           001                                      (null)      0x0000      0x0000
 212                      NVRAM_EF_GROUPLIST_SIM2_LID          MPC8           000                                      (null)      0x0000      0x0000
 358          NVRAM_EF_POWER_ON_OFF_DISP_FILENAME_LID          MPCC           000                                      (null)      0x0000      0x0080
 215                    NVRAM_EF_MMI_PROF_SETTING_LID          MPCD           000                                      (null)      0x0000      0x0000
 360               NVRAM_EF_SRV_SMS_STATUS_REPORT_LID          MPCF           002                                      (null)      0x0000      0x0010
 362                            NVRAM_EF_CLOG_LOG_LID          MPD1           002                                      (null)      0x0000      0x0010
 363                      NVRAM_EF_CLOG_CALL_TIME_LID          MPD2           001                                      (null)      0x0000      0x0010
 371                      NVRAM_EF_SRV_REMINDER_Q_LID          MPDC           000                                      (null)      0x0000      0x0040
 386                   NVRAM_EF_MRE_PKEY_LIST_MTK_LID          MPE8           002                                      (null)      0x0000      0x2001
 388                           NVRAM_EF_QUICKTEST_LID          MPG0           000                                      (null)      0x0000      0x0000
 390                     NVRAM_EF_SRV_NSS_PROFILE_LID          MPNS           000                                      (null)      0x0000      0x0001
 391                         NVRAM_EF_MRE_PKEY_EX_LID          MP7B           001                                      (null)      0x0000      0x2001
 392                         NVRAM_EF_KJX_APPICON_LID          MP80           000                                      (null)      0x0000      0x0080
 393                       NVRAM_EF_KJX_WORK_TIME_LID          MP81           000                                      (null)      0x0000      0x0080
 394                       NVRAM_EF_KJX_LOG_PARAM_LID          MP82           000                                      (null)      0x0000      0x0080
1536                  NVRAM_EF_CUST_ACOUSTIC_DATA_LID          MT6A           000                                      (null)      0x0000      0x2000
1537                         NVRAM_EF_AUDIO_PARAM_LID          MT6B           010                                      (null)      0x0000      0x0000
1538                   NVRAM_EF_AUDIO_BESLOUDNESS_LID          MT6C           120                                      (null)      0x0000      0x0000
1545                NVRAM_EF_AUDIO_DC_CALIBRATION_LID          MT6W           000                                      (null)      0x0000      0x0000
2048                    NVRAM_EF_SRV_PROF_SETTING_LID          MP1V           001                                      (null)      0x0000      0x2091
2049                 NVRAM_EF_SRV_PROF_EXT_MELODY_LID          MP1K           001                                      (null)      0x0000      0x0090
--------------------------------------------------------------------------------------------
